Site Name,Division,Line Segment,Mile Post,Radio ID #,Version,SMID,SM EMP Address,SiteID,Network ID,Tx Power Offset,SFLen,FFrame,Number of WIUs,DSB,Slot 1,Slot 2,Slot 3,Slot 4,DSB1,DSB2,DSB3,DSB4,DSB5,DSB6,CONNECT,REPEAT,REPEAT DSB 1,REPEAT FTDMA 1,REPEAT DSB 2,REPEAT FTDMA 2,REPEAT DSB 3,REPEAT FTDMA 3,HOLDOFF,SBM MOD,Lat DD:MM.MMMN,Long DD:MM.MMMW,Height (m)
BRUSSEL,Alabama,AGS,137.5,3940079,MTA29-2018-005,w65500101r,ns.w.655001:01.r.sma,655001,0,0,4000,570,1,ON,,,,,"655001,1","655001,2","655001,3","655001,4","655001,5","655001,6",1595293,OFF,,,,,,,5,,33:32.3947N, 86:43.3261W,232
SIG 139.1/139.2,Alabama,AGS,138.9,3940080,MTA29-2018-005,w65500201r,ns.w.655002:01.r.sma,655002,0,0,4000,0,2,ON,,,,,"655002,1","655002,2","655002,3","655002,4","655002,5","655002,6",3680046,OFF,,,,,,,5,,33:32.3791N, 86:44.7990W,201
WOODLAWN JCT,Alabama,AGS,139.9,3940081,MTA29-2018-005,w65500301r,ns.w.655003:01.r.sma,655003,0,0,4000,0,1,ON,,,,,"655003,1","655003,2","655003,3","655003,4","655003,5","655003,6",2621988,OFF,,,,,,,5,,33:32.0441N, 86:45.6354W,201
SIG 140.8/141.0,Alabama,AGS,140.9,3940082,MTA29-2018-005,w65500401r,ns.w.655004:01.r.sma,655004,0,0,4000,0,1,ON,,,,,"655004,1","655004,2","655004,3","655004,4","655004,5","655004,6",2621505,OFF,,,,,,,5,,33:31.6273N, 86:46.5419W,184
32ND STREET,Alabama,AGS,141.7,3940083,F1,w65500501r,ns.w.655005:01.r.sma,655005,0,0,4000,1140,1,OFF,,,,,,,,,,,,OFF,,,,,,,5,,,,0
27TH STREET,Alabama,AGS,142.1,3940084,MTA29-2018-005,w65500601r,ns.w.655006:01.r.sma,655006,0,0,4000,0,1,ON,,,,,"655006,1","655006,2","655006,3","655006,4","655006,5","655006,6",2621505,OFF,,,,,,,5,,33:31.1684N, 86:47.5142W,191
14TH STREET TOWER Remote 2,Alabama,AGS,143.5,3940085,MTA29-2018-005,w65500701r,ns.w.655007:01.r.sma,655007,0,0,4000,0,1,ON,,,,,"655007,1","655007,2","655007,3","655007,4","655007,5","655007,6",2621988,OFF,,,,,,,5,,33:30.5928N, 86:48.7292W,180
"SIG 146.2,3,4,5",Alabama,AGS,146.3,3940088,MTA29-2018-005,w65500801r,ns.w.655008:01.r.sma,655008,0,0,4000,0,1,ON,,,,,"655008,1","655008,2","655008,3","655008,4","655008,5","655008,6",3680011,OFF,,,,,,,5,,33:29.2765N, 86:51.2307W,171
POWDERLY,Alabama,AGS,149.13,3940089,MTA29-2018-005,w65500901r,ns.w.655009:01.r.sma,655009,0,0,4000,0,1,ON,,,,,"655009,1","655009,2","655009,3","655009,4","655009,5","655009,6",2621988,OFF,,,,,,,5,,33:27.6254N, 86:53.5527W,169
"SIG 151.6,7,8,9",Alabama,AGS,151.7,3940090,MTA29-2018-005,w65501001r,ns.w.655010:01.r.sma,655010,0,0,4000,0,1,ON,,,,,"655010,1","655010,2","655010,3","655010,4","655010,5","655010,6",3680011,OFF,,,,,,,5,,33:25.9909N, 86:55.4407W,162
